cited_by_count,country_code,display_name,h_index,id,works_api_url,works_count
14.0,CN,Zhoufan Chen,1.0,https://openalex.org/A5102505955,https://api.openalex.org/works?filter=author.id:A5102505955,1.0
6060.0,SE,Joakim Öhlén,37.0,https://openalex.org/A5003381823,https://api.openalex.org/works?filter=author.id:A5003381823,278.0
33684.0,GB,Michael Batty,93.0,https://openalex.org/A5003307854,https://api.openalex.org/works?filter=author.id:A5003307854,645.0
24586.0,GB,Karen M. Douglas,64.0,https://openalex.org/A5087650169,https://api.openalex.org/works?filter=author.id:A5087650169,257.0
6034.0,GR,Symeon Papadopoulos,35.0,https://openalex.org/A5013616365,https://api.openalex.org/works?filter=author.id:A5013616365,381.0
1191.0,JP,Nobuyuki Hanaki,14.0,https://openalex.org/A5033935340,https://api.openalex.org/works?filter=author.id:A5033935340,178.0
5314.0,US,Wenhong Chen,31.0,https://openalex.org/A5103159189,https://api.openalex.org/works?filter=author.id:A5103159189,158.0
3621.0,US,Melanie E. Moses,29.0,https://openalex.org/A5010797607,https://api.openalex.org/works?filter=author.id:A5010797607,169.0
12079.0,US,Martin G. Klotz,59.0,https://openalex.org/A5088292814,https://api.openalex.org/works?filter=author.id:A5088292814,157.0
4912.0,CN,Yan Fan,36.0,https://openalex.org/A5064431102,https://api.openalex.org/works?filter=author.id:A5064431102,151.0
