author_id,display_name,works_api_url,h_index,works_count,country_code
A5022066530,Akiko Matsuo,https://api.openalex.org/works?filter=author.id:A5022066530,32.0,356.0,JP
A5073160298,Clare Llewellyn,https://api.openalex.org/works?filter=author.id:A5073160298,50.0,246.0,GB
A5002912874,Júlia Számely,https://api.openalex.org/works?filter=author.id:A5002912874,2.0,4.0,AT
A5054439389,Corinna Coupette,https://api.openalex.org/works?filter=author.id:A5054439389,7.0,62.0,DE
A5089310000,Saphira Rekker,https://api.openalex.org/works?filter=author.id:A5089310000,12.0,40.0,AU
A5115588111,Mengmeng Wu,https://api.openalex.org/works?filter=author.id:A5115588111,113.0,939.0,US
A5043181761,Jaakko Kuorikoski,https://api.openalex.org/works?filter=author.id:A5043181761,19.0,75.0,FI
A5091677618,Víctor Orozco-Olvera,https://api.openalex.org/works?filter=author.id:A5091677618,9.0,52.0,MX
A5031842660,Donghak Lee,https://api.openalex.org/works?filter=author.id:A5031842660,5.0,7.0,KR
A5029472989,Manuel Holz,https://api.openalex.org/works?filter=author.id:A5029472989,4.0,11.0,DE
A5100380043,Jiayu Chen,https://api.openalex.org/works?filter=author.id:A5100380043,32.0,217.0,CN
A5079920605,Pong C. Yuen,https://api.openalex.org/works?filter=author.id:A5079920605,64.0,345.0,HK
A5008551833,Derek Ouyang,https://api.openalex.org/works?filter=author.id:A5008551833,8.0,36.0,US
A5076251583,Elisa Klüger,https://api.openalex.org/works?filter=author.id:A5076251583,5.0,21.0,FR
A5006578976,Theresa Kuchler,https://api.openalex.org/works?filter=author.id:A5006578976,31.0,97.0,US
A5000760201,Ali Tafti,https://api.openalex.org/works?filter=author.id:A5000760201,15.0,62.0,IR
A5100393445,Yixin Chen,https://api.openalex.org/works?filter=author.id:A5100393445,47.0,332.0,CN
A5015711710,Brian Uzzi,https://api.openalex.org/works?filter=author.id:A5015711710,51.0,191.0,US
A5064437896,Sandra González‐Bailón,https://api.openalex.org/works?filter=author.id:A5064437896,31.0,116.0,US
A5043862313,Yulin Deng,https://api.openalex.org/works?filter=author.id:A5043862313,76.0,338.0,CN
A5034550396,Brennan Klein,https://api.openalex.org/works?filter=author.id:A5034550396,16.0,70.0,US
A5040094074,Woo‐Sung Jung,https://api.openalex.org/works?filter=author.id:A5040094074,25.0,156.0,
A5030571651,Jürgen Pfeffer,https://api.openalex.org/works?filter=author.id:A5030571651,27.0,199.0,DE
A5058810080,Denis Bonnay,https://api.openalex.org/works?filter=author.id:A5058810080,12.0,72.0,FR
A5052445343,Laura Dioşan,https://api.openalex.org/works?filter=author.id:A5052445343,15.0,136.0,RO
A5090538407,Yerka Freire-Vidal,https://api.openalex.org/works?filter=author.id:A5090538407,2.0,3.0,CL
A5006544879,Maria José Sousa,https://api.openalex.org/works?filter=author.id:A5006544879,29.0,346.0,GB
A5010871179,S. Horn,https://api.openalex.org/works?filter=author.id:A5010871179,42.0,293.0,US
A5030206116,Charlotte Ren,https://api.openalex.org/works?filter=author.id:A5030206116,8.0,33.0,US
